102.100.100/8180 ,102.100.100/8180 Soil Sample #353,0-10,"Wheat Direct Drill (Plot #7, #24, #33) combined",Paulline,7/11/2012,Australia,VIC,Walpeup ,,(7) 72m S35.11641 E141.97638 (24) 71m S35.11642 E141.97562 (33) 70m S35.11642 E141.97524,,,,,,,,,,,,,,,,,,,,,1. GPS taken for Walpeup samples at centre of each plot at the middle access tube. 2.Walpeup (MC14) Plots size 4.2m x 40m 
102.100.100/8181 ,102.100.100/8181 Soil sample #354,10- 20,"Wheat Direct Drill (Plot #7, #24, #33) combined",,7/11/2012,Australia,VIC,Walpeup ,,(7) 72m S35.11641 E141.97638 (24) 71m S35.11642 E141.97562 (33) 70m S35.11642 E141.97524,,,,,,,,,,,,,,,,,,,,,1. GPS taken for Walpeup samples at centre of each plot at the middle access tube. 2.Walpeup (MC14) Plots size 4.2m x 40m 
102.100.100/8182 ,102.100.100/8182 Soil sample #355,0-10,"Pasture Direct Drill (Plot #3, #15, #31) combined",,7/11/2012,Australia,VIC,Walpeup ,,(3) 72m S35.11641 E141.97655 (15) 71m S35.11641 E141.97602 (31) 70m S35.11641 E141.97533,,,,,,,,,,,,,,,,,,,,,1. GPS taken for Walpeup samples at centre of each plot at the middle access tube. 2.Walpeup (MC14) Plots size 4.2m x 40m 
102.100.100/8183 ,102.100.100/8183 Soil sample #356,10- 20,"Pasture Direct Drill (Plot #3, #15, #31) combined",,7/11/2012,Australia,VIC,Walpeup ,,(3) 72m S35.11641 E141.97655 (15) 71m S35.11641 E141.97602 (31) 70m S35.11641 E141.97533,,,,,,,,,,,,,,,,,,,,,1. GPS taken for Walpeup samples at centre of each plot at the middle access tube. 2.Walpeup (MC14) Plots size 4.2m x 40m 
102.100.100/8184 ,102.100.100/8184 Soil Sample #357,0-10,"Fallow Direct Drill (Plot # 1, #21, #42) combined",,7/11/2012,Australia,VIC,Walpeup ,,(1) 73m S35.11641 E141.97663 (21) 72m S35.11641 E141.97576 (42) 70m S35.11641 E141.97484,,,,,,,,,,,,,,,,,,,,,1. GPS taken for Walpeup samples at centre of each plot at the middle access tube. 2.Walpeup (MC14) Plots size 4.2m x 40m 
102.100.100/8185 ,102.100.100/8185 Soil Sample #358,10- 20,"Fallow Direct Drill (Plot # 1, #21, #42) combined",,7/11/2012,Australia,VIC,Walpeup ,,(1) 73m S35.11641 E141.97663 (21) 72m S35.11641 E141.97576 (42) 70m S35.11641 E141.97484,,,,,,,,,,,,,,,,,,,,,1. GPS taken for Walpeup samples at centre of each plot at the middle access tube. 2.Walpeup (MC14) Plots size 4.2m x 40m 
102.100.100/8262 ,102.100.100/8262 Soil Sample #435,0-10,"Wheat CV-Conventionally sown (Plots #8, #23, #34) combined",,7/11/2012,Australia,VIC,Walpeup ,,(8) 72m S35.11641 E141.97633 (23) 71m S35.11642 E141.97567 (34) 71m S35.11641 E141.97519,,,,,,,,,,,,,,,,,,,,,1. GPS taken for Walpeup samples at centre of each plot at the middle access tube. 2.Walpeup (MC14) Plots size 4.2m x 40m 
102.100.100/8263 ,102.100.100/8263 Soil Sample #436,10- 20,"Wheat CV-Conventionally sown (Plots #8, #23, #34) combined",,7/11/2012,Australia,VIC,Walpeup ,,(8) 72m S35.11641 E141.97633 (23) 71m S35.11642 E141.97567 (34) 71m S35.11641 E141.97519,,,,,,,,,,,,,,,,,,,,,1. GPS taken for Walpeup samples at centre of each plot at the middle access tube. 2.Walpeup (MC14) Plots size 4.2m x 40m
102.100.100/8264 ,102.100.100/8264 Soil Sample #437,0-10,"Pasture CV (Plots #4, #16, #32) combined",,7/11/2012,Australia,VIC,Walpeup ,,(4) 72m S35.11641 E141.97650 (16) 72m S35.11641 E141.97597 (32) 70m S35.11641 E141.97528,,,,,,,,,,,,,,,,,,,,,1. GPS taken for Walpeup samples at centre of each plot at the middle access tube. 2.Walpeup (MC14) Plots size 4.2m x 40m
102.100.100/8265 ,102.100.100/8265 Soil Sample #438,10- 20,"Pasture CV (Plots #4, #16, #32) combined",,7/11/2012,Australia,VIC,Walpeup ,,(4) 72m S35.11641 E141.97650 (16) 72m S35.11641 E141.97597 (32) 70m S35.11641 E141.97528,,,,,,,,,,,,,,,,,,,,,1. GPS taken for Walpeup samples at centre of each plot at the middle access tube. 2.Walpeup (MC14) Plots size 4.2m x 40m
